QID,Domain,Bloom_Level,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
1055,Cloud Computing,Knowledge,Medium,"What is 'vertical scaling'?","Increasing the resources (like CPU or RAM) of a single instance or server to handle a larger load","Adding more instances or servers to a system","Scaling a system down to reduce costs","A method for scaling physical server racks vertically","A"
1056,Artificial Intelligence,Analysis,Medium,"What is a key advantage of using a 'neural network' over a traditional algorithm for a task like image recognition?","Neural networks can automatically learn relevant features from the raw pixel data, whereas traditional methods often require complex, hand-crafted feature extractors","Neural networks are always faster","Traditional algorithms cannot be used for image recognition","Neural networks are easier to understand and interpret","A"
1057,Data Science,Comprehension,Medium,"What is the main purpose of a 'test set' in machine learning?","To provide a final, unbiased evaluation of the trained model's performance on data it has never seen before","To train the model","To tune the model's hyperparameters","A dataset that is used for demonstrations","A"
1058,Big Data,Application,Hard,"A financial company needs to perform complex analytical queries on a 100 TB structured dataset. What is the most appropriate platform?","A cloud data warehouse like Google BigQuery or Snowflake","A single-node MySQL database","A real-time stream processing engine","A key-value store like Redis","A"
1059,DevOps,Knowledge,Easy,"What is 'automation'?","The use of technology to perform tasks with reduced human assistance","A type of car transmission","A software development methodology","A project management tool","A"
1060,IoT,Analysis,Medium,"What is a primary benefit of using edge computing in an IoT application?","It reduces latency by processing data close to the source, which is critical for time-sensitive actions like in an autonomous vehicle or industrial control system","It provides unlimited storage capacity","It simplifies the process of updating device firmware","It is the most secure architecture for all IoT applications","A"
1061,Cybersecurity,Knowledge,Medium,"What is 'cryptography'?","The practice and study of techniques for secure communication in the presence of third parties called adversaries","The study of ancient crypts","A type of malware","A brand of security software","A"
1062,Machine Learning,Knowledge,Medium,"What is an 'epoch' in the context of training a neural network?","One complete pass through the entire training dataset","A very long period of time","A specific layer in the neural network","A measure of the model's accuracy","A"
1063,Cloud Computing,Knowledge,Medium,"What is a 'container'?","A lightweight, standalone, executable package of software that includes everything needed to run it: code, runtime, system tools, system libraries, and settings","A physical box for shipping servers","A type of virtual machine","A security boundary in a network","A"
1064,Artificial Intelligence,Comprehension,Hard,"What is the 'frame problem' in artificial intelligence?","The challenge of representing and reasoning about which things in the world remain the same when an action is taken, as opposed to the things that change","A problem with the frame rate of a video being processed by an AI","A physical problem with the frame of a robot","A problem with the frame of a neural network layer","A"
1065,Data Science,Knowledge,Medium,"What is 'regression analysis'?","A set of statistical processes for estimating the relationships between a dependent variable and one or more independent variables","An analysis of how a model's performance regresses over time","A type of data cleaning","A method for classifying data","A"
1066,Big Data,Comprehension,Hard,"What is a key difference between a 'data lake' and a 'data warehouse'?","A data lake stores raw, unprocessed data in its native format (schema-on-read), while a data warehouse stores structured, processed data in a predefined schema (schema-on-write)","A data lake is for small data, while a data warehouse is for big data","A data lake is a physical body of water used for cooling servers","A data warehouse is an older, outdated technology","A"
1067,DevOps,Knowledge,Medium,"What is 'Git'?","A distributed version control system used for tracking changes in source code","A tool for managing IT tickets","A brand of server hardware","A project management methodology","A"
1068,IoT,Knowledge,Medium,"What is 'Bluetooth'?","A short-range wireless technology standard used for exchanging data between fixed and mobile devices over short distances","A type of dental treatment","A secure networking protocol for the internet","A brand of smart home device","A"
1069,Cybersecurity,Analysis,Medium,"What is the main purpose of conducting a 'risk analysis'?","To identify potential threats and vulnerabilities and to evaluate the potential impact and likelihood of those risks to inform security decisions","To analyze the risk of a project going over budget","A type of stock market analysis","To analyze the health risks of working in IT","A"
1070,Machine Learning,Knowledge,Medium,"What is 'overfitting'?","A modeling error that occurs when a model learns the training data too well, including its noise, and performs poorly on new, unseen data","A model that is a perfect fit for all data","A model that is too simple","A problem where a model's file size is too large","A"
1071,Cloud Computing,Comprehension,Hard,"What is the main benefit of an 'elastic load balancer' (ELB)?","It automatically distributes incoming application traffic across multiple targets, such as virtual instances, containers, and IP addresses, and can scale its capacity based on traffic","A load balancer that is physically flexible","A financial tool for balancing cloud costs","A security device that blocks elastic IP addresses","A"
1072,Artificial Intelligence,Knowledge,Medium,"What is a 'neural network'?","A computational model inspired by the structure and function of biological neural networks, used for pattern recognition and machine learning","A type of computer network hardware","A diagram of the human brain","A theoretical model of consciousness","A"
1073,Data Science,Comprehension,Medium,"What is the purpose of 'exploratory data analysis' (EDA)?","To analyze and investigate datasets and summarize their main characteristics, often with visual methods, before formal modeling","The final analysis presented in a report","An analysis to explore new software tools","A type of predictive modeling","A"
1074,Big Data,Knowledge,Hard,"What is 'Zookeeper'?","A centralized service for maintaining configuration information, naming, and providing distributed synchronization and group services for large distributed systems like Hadoop and Kafka","A software for managing a zoo","A type of database","A security protocol","A"
1075,DevOps,Comprehension,Medium,"What is 'test automation'?","The practice of using software tools to run tests on an application automatically, which provides rapid feedback and improves quality","A process where robots perform manual testing","A job title for a person who designs tests","A specific brand of testing software","A"
1076,IoT,Evaluation,Medium,"What is the most significant advantage of using 5G for IoT?","Its combination of high bandwidth, low latency, and the ability to connect a massive number of devices, which enables new applications like autonomous vehicles and augmented reality","It has a longer range than any other wireless technology","It consumes less power than LoRaWAN","It is cheaper than Wi-Fi","A"
1077,Cybersecurity,Comprehension,Medium,"What is a 'Denial-of-Service' (DoS) attack?","An attack intended to shut down a machine or network, making it inaccessible to its intended users","An attack that steals data","An attack that installs malware","An attack that tries to guess a password","A"
1078,Machine Learning,Comprehension,Hard,"What is the main idea behind the 'boosting' technique?","To build a strong model by sequentially training a series of 'weak' models, where each new model focuses on correcting the errors made by the previous ones","To boost the amount of data in the training set","To boost the processing speed of the training hardware","To combine the results of many independent models","A"
1079,Cloud Computing,Analysis,Medium,"What is the primary difference between 'ephemeral storage' and 'persistent storage' for a cloud instance?","Ephemeral storage is temporary and is lost when the instance is stopped or terminated, while persistent storage (like a block store volume) exists independently of the instance's lifecycle","Persistent storage is faster than ephemeral storage","Ephemeral storage is more secure","Persistent storage is free, while ephemeral storage is not","A"
1080,Artificial Intelligence,Knowledge,Hard,"What is an 'autoencoder'?","A type of neural network used for unsupervised learning of efficient data representations (encodings), by training the network to reconstruct its own input","A device that automatically writes code","A model that can generate its own training data","A tool for automatically encrypting data","A"
1081,Data Science,Knowledge,Medium,"What is 'standard deviation'?","A measure of the amount of dispersion or variation in a set of values","The average of a set of values","The middle value in a set of values","The most frequent value in a set of values","A"
1082,Big Data,Comprehension,Hard,"What is a 'data mesh'?","A decentralized, domain-oriented approach to data architecture where data is treated as a product and owned by the teams that know it best","A physical mesh network for big data transfer","A single, centralized data platform","A security model for data lakes","A"
1083,DevOps,Analysis,Medium,"What is the primary benefit of 'continuous deployment'?","It automates the entire release process, allowing every change that passes all tests to be deployed to production automatically, leading to a faster delivery cycle","It is a less risky process than continuous delivery","It requires less testing than other methods","It is a manual process that provides more control","A"
1084,IoT,Knowledge,Easy,"What is 'firmware'?","Low-level software that is programmed onto a hardware device's read-only memory to provide its basic functionality","A company that sells hardware","A type of secure casing for a device","A tool for managing a device","A"
1085,Cybersecurity,Knowledge,Medium,"What is a 'zero-day' vulnerability?","A security flaw in a piece of software that is unknown to the vendor, meaning they have had zero days to create a patch","A vulnerability that is very easy to exploit","A vulnerability that only exists for one day","A vulnerability in the operating system's core","A"
1086,Machine Learning,Analysis,Medium,"What is the main benefit of 'cross-validation'?","It provides a more robust and reliable estimate of a model's performance on unseen data by training and testing the model on multiple different splits of the data","It makes the model training process much faster","It is a method for visualizing the data","It helps to clean the data before training","A"
1087,Cloud Computing,Knowledge,Medium,"What is a 'security group'?","A virtual firewall that controls inbound and outbound traffic for a cloud instance or resource","A team of security experts","A physical security device","A list of approved users for a system","A"
1088,Artificial Intelligence,Comprehension,Medium,"What is the goal of 'natural language processing' (NLP)?","To enable computers to understand, interpret, generate, and interact with human language","To process natural signals like weather patterns","To create a new, more efficient programming language","To analyze the performance of computer networks","A"
1089,Data Science,Knowledge,Medium,"What is a 'DataFrame' in Pandas?","A 2-dimensional labeled data structure with columns of potentially different types, similar to a spreadsheet or a SQL table","A frame for displaying data visualizations","A type of machine learning model","A hardware component for data processing","A"
1090,Big Data,Knowledge,Medium,"What is a 'NoSQL' database?","A database that provides a mechanism for storage and retrieval of data that is modeled in means other than the tabular relations used in relational databases","A database that has no query language","An older, less powerful type of database","A database that cannot be used for SQL queries at all","A"
1091,DevOps,Comprehension,Medium,"What is the main purpose of a 'pull request'?","To propose changes from one branch to another in a Git repository, allowing for code review and discussion before the changes are merged","A request to pull a server out of service","A formal request for a new feature","A ticket for a bug in the software","A"
1092,IoT,Analysis,Medium,"What is a key benefit of using a 'publish-subscribe' model in IoT?","It decouples data producers (sensors) from data consumers (applications), allowing for a flexible and scalable architecture where components don't need to know about each other","It is the most secure communication pattern","It guarantees that messages are delivered in a specific order","It is the only model that works with the internet","A"
1093,Cybersecurity,Comprehension,Hard,"What is a 'distributed denial-of-service' (DDoS) attack?","An attack where traffic from many different compromised computer systems (a botnet) is used to overwhelm a target, making it unavailable","A denial-of-service attack from a single source","An attack that distributes malware","An attack on a distributed database","A"
1094,Machine Learning,Comprehension,Medium,"What is the main difference between 'classification' and 'clustering'?","Classification is a supervised learning task that assigns data to predefined categories, while clustering is an unsupervised learning task that groups data based on similarity without any predefined categories","Clustering is a type of regression","Classification is for numerical data, while clustering is for text data","Clustering is an older, less effective method","A"
1095,Cloud Computing,Knowledge,Medium,"What is an 'availability zone'?","A distinct location within a cloud region, with its own power, cooling, and networking, that is isolated from failures in other zones","An area where a cloud service is available for purchase","A specific rack in a data center","A billing zone for cloud services","A"
1096,Artificial Intelligence,Analysis,Medium,"What is a key limitation of a 'rule-based' AI system?","It can be very brittle and may fail when it encounters a situation that is not explicitly covered by its programmed rules, and the knowledge base can be difficult to maintain","It cannot explain its reasoning","It is a very new and unproven technology","It requires a massive amount of data to be trained","A"
1097,Data Science,Knowledge,Medium,"What is 'Python'?","A popular high-level programming language known for its simple syntax and extensive libraries, widely used in data science and machine learning","A type of snake","A brand of computer hardware","A statistical software package","A"
1098,Big Data,Comprehension,Medium,"What is 'data warehousing'?","The process of collecting, storing, and managing large amounts of structured data from various sources to provide meaningful business insights, primarily through analytical queries and reporting","Storing data in a physical warehouse","A method for processing real-time data","A type of NoSQL database","A"
1099,DevOps,Application,Hard,"A team wants to manage their servers by defining their desired state in configuration files and having a tool automatically enforce that state. What is this practice called?","Configuration Management","Manual server administration","Ad-hoc scripting","Helpdesk support","A"
1100,IoT,Evaluation,Medium,"What is the most significant challenge in managing a large fleet of IoT devices?","Securely provisioning, monitoring, and updating the firmware of thousands or millions of devices in the field","The physical storage of the devices","The cost of the internet connection","The lack of available programming languages","A"
1101,Cybersecurity,Knowledge,Medium,"What is a 'botnet'?","A network of private computers infected with malicious software and controlled as a group without the owners' knowledge","A type of physical robot","A secure computer network","A company that sells bots","A"
1102,Machine Learning,Analysis,Hard,"What is the primary trade-off in the 'bias-variance' tradeoff?","A model with high bias is too simple and underfits the data, while a model with high variance is too complex and overfits the data; the goal is to find a balance between the two","The trade-off between a biased and an unbiased dataset","The trade-off between the speed and accuracy of a model","The trade-off between using more or fewer features","A"
1103,Cloud Computing,Knowledge,Medium,"What is 'PaaS'?","Platform as a Service","Performance and Security","Payment and Service","Privacy as a Standard","A"
1104,Artificial Intelligence,Comprehension,Medium,"What is the purpose of a 'training loop' in machine learning?","The iterative process of feeding a batch of data to a model, calculating the loss, and updating the model's weights to minimize that loss","A physical loop in a data center cable","A type of infinite loop bug in a program","A meeting to discuss training plans","A"
1105,Data Science,Knowledge,Medium,"What is a 'histogram'?","A graphical representation of the distribution of numerical data, where the data is grouped into a series of bins","A chart that shows historical data over time","A type of bar chart for categorical data","A map that shows the density of a population","A"
1106,Big Data,Knowledge,Hard,"What is 'stream processing'?","The practice of processing data in real-time as it is generated or received, allowing for immediate analysis and action","Processing a stream of water for cooling","A type of batch processing","A method for processing video streams","A"
1107,DevOps,Comprehension,Medium,"What is the main benefit of 'continuous integration' (CI)?","It helps teams catch and fix integration issues early by automatically building and testing their code every time a change is made","It guarantees that the final software will have no bugs","It automatically deploys every change to production","It is a manual process that provides more control","A"
1108,IoT,Knowledge,Medium,"What is a 'smart home hub'?","A central device that connects and manages all the different smart devices in a home, allowing them to communicate with each other and be controlled from a single app","A hub for the smart people in a home to gather","A power strip for smart devices","A security device for a smart home","A"
1109,Cybersecurity,Knowledge,Medium,"What is 'ransomware'?","A type of malware that encrypts a victim's files and demands a ransom payment to restore access","A software that is given away for free","A type of hardware security device","A tool for recovering lost files","A"
1110,Machine Learning,Analysis,Medium,"What is the main advantage of a 'decision tree' model?","It is highly interpretable and its decision-making process can be easily visualized and understood, resembling a flowchart","It is the most accurate model for all types of problems","It is a type of unsupervised learning","It is very resistant to overfitting","A"
1111,Cloud Computing,Comprehension,Medium,"What is 'horizontal scaling'?","Adding more machines or instances to a pool of resources to handle increased load, also known as 'scaling out'","Adding more resources (CPU, RAM) to a single machine","Scaling a physical server rack horizontally","A method for scaling down a system","A"
1112,Artificial Intelligence,Knowledge,Medium,"What is a 'convolutional neural network' (CNN)?","A class of deep neural networks, most commonly applied to analyzing visual imagery, that uses convolutional layers to learn features","A network that is very convoluted and complex","A network for processing sequential data","A type of computer network hardware","A"
1113,Data Science,Knowledge,Easy,"What is 'data'?","Facts and statistics collected together for reference or analysis","A specific date in time","A type of computer program","A brand of storage device","A"
1114,Big Data,Comprehension,Medium,"What is the purpose of 'data replication' in a distributed system?","To improve fault tolerance and availability by storing copies of data on multiple nodes","To increase the total amount of data stored","To make the system more complex","To slow down data access for security reasons","A"
1115,DevOps,Knowledge,Medium,"What is a 'retrospective'?","A meeting held at the end of a sprint or project for the team to reflect on what went well, what didn't, and what can be improved","A look back at historical data","A type of automated test","A security audit of past events","A"
1116,IoT,Analysis,Medium,"What is a key benefit of using a 'mesh' topology in an IoT network?","It increases reliability and range because nodes can relay data for each other, creating multiple communication paths","It is the simplest and cheapest topology to set up","It has the highest data transfer rate","It is the most power-efficient topology for all use cases","A"
1117,Cybersecurity,Comprehension,Medium,"What is the purpose of a 'sandbox'?","To run untrusted code in an isolated environment to see how it behaves without risking harm to the host system","A box of sand used to put out server fires","A training environment for new security analysts","A type of secure data storage","A"
1118,Machine Learning,Comprehension,Medium,"What is the main goal of a 'clustering' algorithm?","To group a set of objects in such a way that objects in the same group (cluster) are more similar to each other than to those in other groups","To predict a continuous numerical value","To classify objects into predefined categories","To learn a sequence of actions to take","A"
1119,Cloud Computing,Knowledge,Hard,"What is a 'Cloud Adoption Framework' (CAF)?","A collection of documentation, best practices, and tools provided by cloud vendors to help organizations accelerate their cloud migration and adoption journey","A legal framework for using the cloud","A piece of software that automatically moves applications to the cloud","A certification for cloud professionals","A"
1120,Artificial Intelligence,Knowledge,Medium,"What is 'reinforcement learning'?","A type of machine learning where an agent learns to behave in an environment by performing actions and seeing the results and rewards","A method for reinforcing the security of a model","A technique that requires multiple models to reinforce each other","A learning paradigm that uses human reinforcement","A"
1121,Data Science,Application,Medium,"A company wants to predict whether a customer will churn (cancel their subscription) next month. What type of machine learning problem is this?","Binary Classification","Regression","Clustering","Anomaly Detection","A"
1122,Big Data,Knowledge,Medium,"What is 'Apache Pig'?","A high-level platform for creating programs that run on Apache Hadoop, using a language called Pig Latin","A tool for managing livestock with big data","A database for storing pig-related information","A real-time data processing engine","A"
1123,DevOps,Comprehension,Hard,"What is 'GitFlow'?","A branching model for Git that prescribes a set of specific branches (master, develop, feature, release, hotfix) and how they should interact, designed for more structured release cycles","The main flow of data in a Git repository","A graphical user interface for Git","A proprietary version of Git","A"
1124,IoT,Knowledge,Medium,"What is a 'smart grid'?","An electrical grid that includes a variety of operational and energy measures including smart meters, smart appliances, and renewable energy resources","A very well-designed power grid","A grid of sensors in a smart city","A security system for the power grid","A"
1125,Cybersecurity,Analysis,Medium,"What is the primary purpose of 'salting' passwords before hashing them?","To ensure that two users with the same password will have different hashes, which prevents attackers from using pre-computed rainbow tables","To make the passwords taste better","To make the hashing process faster","To allow the password hashes to be decrypted","A"
1126,Machine Learning,Comprehension,Medium,"What is a 'hyperplane' in the context of an SVM?","The decision boundary that the SVM algorithm finds to separate the data points of different classes","A type of very fast airplane","A tool for visualizing high-dimensional data","A layer in a deep neural network","A"
1127,Cloud Computing,Knowledge,Medium,"What is a 'data egress' fee?","A fee charged by a cloud provider for transferring data out of their network to the public internet","A fee for transferring data into the cloud","A fee for storing data","A discount for keeping data in the cloud","A"
1128,Artificial Intelligence,Analysis,Hard,"What is a key difference between 'AI', 'machine learning', and 'deep learning'?","AI is the broad field of creating intelligent machines, machine learning is a subfield of AI that uses data to learn, and deep learning is a subfield of machine learning that uses deep neural networks","They are all synonyms for the same concept","Deep learning is the broadest field","Machine learning is a type of deep learning","A"
1129,Data Science,Knowledge,Medium,"What is 'data fidelity'?","The degree to which a piece of data accurately represents the real-world object or event that it is intended to model","A loyalty program for data scientists","A brand of high-quality data storage","A measure of the size of a dataset","A"
1130,Big Data,Comprehension,Medium,"What is a 'document database'?","A type of NoSQL database that stores data in documents, often in a JSON-like format, which is well-suited for semi-structured data and flexible schemas","A database for storing legal documents","A database that can only store text files","A system for scanning physical documents into a database","A"
1131,DevOps,Knowledge,Easy,"What is a 'server'?","A computer or system that provides resources, data, services, or programs to other computers, known as clients, over a network","A person who serves food and drinks","A type of software application","A storage device","A"
1132,IoT,Evaluation,Medium,"What is a significant advantage of using an open-source platform like Home Assistant for smart home automation?","It provides a high degree of customization, control over data privacy, and the ability to integrate devices from many different manufacturers","It is the easiest platform for non-technical users to set up","It comes with free professional support","It does not require any hardware to run","A"
1133,Cybersecurity,Comprehension,Medium,"What is a 'security vulnerability'?","A weakness or flaw in a system's design, implementation, or operation that could be exploited to violate the system's security policy","An attack on a system","A type of malware","A security tool","A"
1134,Machine Learning,Analysis,Medium,"What is the main benefit of using a 'non-linear' activation function in a neural network?","It allows the network to learn complex, non-linear relationships in the data, which is not possible with only linear transformations","It makes the network train faster","It makes the network easier to interpret","It is only used in the final layer of the network","A"
1135,Cloud Computing,Analysis,Medium,"What is a key advantage of 'Platform as a Service' (PaaS)?","It allows developers to focus on writing application code without needing to manage the underlying operating system, runtime, or infrastructure","It gives you full control over the server hardware","It is the cheapest cloud service model for all applications","It is designed for running legacy applications without modification","A"
1136,Artificial Intelligence,Application,Medium,"A company wants to develop a system that can listen to customer service calls and determine if the customer is happy or upset. What AI technique is most suitable?","Sentiment analysis on the transcribed audio, using NLP","A reinforcement learning agent","A clustering algorithm to group customers","An expert system with rules about customer service","A"
1137,Data Science,Knowledge,Medium,"What is a 'median'?","The middle value in a sorted list of numbers","The average of a list of numbers","The most frequent value in a list of numbers","The sum of all numbers in a list","A"
1138,Big Data,Analysis,Hard,"What is the primary reason for using a tool like Apache Kafka in a modern data architecture?","To provide a durable, scalable, and fault-tolerant messaging system that can act as a central nervous system for real-time data streams between different applications and systems","To provide a relational database for transactional data","To run batch processing jobs on historical data","To visualize large datasets","A"
1139,DevOps,Knowledge,Medium,"What is a 'scrum master'?","A facilitator for a team using the Scrum framework, responsible for ensuring the team adheres to agile practices and for removing impediments to the team's progress","The manager of the development team","The most senior developer on the team","A project manager who assigns all tasks","A"
1140,IoT,Analysis,Medium,"What is a key benefit of using cellular technology (like 4G or 5G) for IoT devices?","It provides broad, wide-area network coverage, allowing devices to be deployed in remote or mobile locations without needing a local Wi-Fi network","It is the most power-efficient wireless technology available","It is free to use","It has a higher bandwidth than a wired Ethernet connection","A"
1141,Cybersecurity,Comprehension,Medium,"What is the purpose of 'access control lists' (ACLs)?","To define permissions that specify which users or systems are granted access to objects, as well as what operations are allowed on given objects","A list of all the people in a company","A list of approved software","A physical list of people allowed in a building","A"
1142,Machine Learning,Knowledge,Medium,"What is a 'test set'?","The subset of a dataset used to provide an unbiased evaluation of a final model's performance after training is complete","The data used to train the model","A set of instructions on how to test a model","Data that is used for manual, exploratory testing","A"
1143,Cloud Computing,Knowledge,Medium,"What is 'fault tolerance'?","The property that enables a system to continue operating properly in the event of the failure of some of its components","A system that is tolerant of human errors","A security feature that prevents faults","A method for predicting future failures","A"
1144,Artificial Intelligence,Comprehension,Hard,"What is the 'credit assignment problem' in reinforcement learning?","The challenge of determining which of the actions in a sequence were responsible for a future reward, especially when the reward is delayed","The problem of getting a credit line to pay for cloud compute","A bug in an AI's accounting software","The task of assigning credit to the creators of an algorithm","A"
1145,Data Science,Application,Medium,"A team wants to find the 'line of best fit' to describe the relationship between advertising spend and sales. What statistical method should they use?","Linear Regression","K-Means Clustering","A/B Testing","A Decision Tree","A"
1146,Big Data,Comprehension,Medium,"What is the role of a 'data engineer'?","To design, build, and maintain the infrastructure and architecture for data generation, storage, and processing, enabling data scientists to perform their analyses","A person who engineers new types of data","A scientist who studies data","A manager of a data science team","A"
1147,DevOps,Comprehension,Medium,"What is a 'hotfix'?","A small piece of code created to address a critical bug or security vulnerability in a live production system, which is usually developed and deployed quickly","A patch to fix an overheating server","A fix that is very popular","A planned update with new features","A"
1148,IoT,Knowledge,Medium,"What is a 'protocol'?","A set of rules and conventions that governs how data is exchanged between devices in a network","A type of IoT device","A brand of smart home hub","A legal document for IoT","A"
1149,Cybersecurity,Knowledge,Hard,"What is a 'Security Information and Event Management' (SIEM) system?","A system that collects, aggregates, and analyzes log and event data from various sources in a network to detect security threats, incidents, and other anomalous behavior","A tool for managing security-related meetings","A document that describes a security event","A team of people who manage security information","A"
1150,Machine Learning,Knowledge,Medium,"What is a 'feature'?","An input variable used in making predictions in a machine learning model","A new capability added to a software application","The output of a machine learning model","A bug in a machine learning library","A"
1151,Cloud Computing,Analysis,Hard,"What is the most significant advantage of using a 'serverless' architecture for event-driven workloads?","The architecture scales automatically and transparently based on the number of events, and you are billed only for the compute time used, making it highly efficient for spiky traffic","It provides the lowest possible latency for every request","It gives the developer full control over the underlying operating system and runtime","It is the easiest architecture to debug and monitor locally","A"
1152,Artificial Intelligence,Comprehension,Medium,"What is the difference between an 'algorithm' and a 'model' in machine learning?","An algorithm is the process or set of rules used to learn from data (e.g., gradient descent), while a model is the output of that process—the learned representation that can make predictions","A model is a type of algorithm","An algorithm is a type of model","The terms are completely interchangeable","A"
1153,Data Science,Knowledge,Medium,"What does 'API' stand for?","Application Programming Interface","Automated Python Integration","Analytical Processing Instance","Advanced Programming Idea","A"
1154,Big Data,Analysis,Hard,"What is a key benefit of using 'Apache Spark' over traditional 'Hadoop MapReduce'?","Spark's ability to perform in-memory processing makes it significantly faster for iterative algorithms and interactive data analysis","Spark is an older, more stable technology","MapReduce is easier to program for complex tasks","Spark can only be used for small datasets","A"
1155,DevOps,Knowledge,Medium,"What is a 'sprint retrospective'?","A meeting where the Scrum team discusses the past sprint to identify what went well, what could be improved, and how to make those improvements","A look back at historical sprints from previous years","A demonstration of the work completed during the sprint","A planning session for the next sprint","A"
1156,IoT,Knowledge,Medium,"What is a 'smart lock'?","An electronic and mechanical locking device that opens wirelessly with an authorized user's authentication, often using a smartphone app or key fob","A lock that is very difficult to open","A physical lock that is very well designed","A lock that can think for itself","A"
1157,Cybersecurity,Comprehension,Medium,"What is a 'VPN' used for?","To create a secure and encrypted connection over a public network, allowing a user to browse the web privately and securely","To make your internet connection faster","To block all advertisements on websites","A type of antivirus software","A"
1158,Machine Learning,Knowledge,Easy,"What is 'AI'?","Artificial Intelligence","Automated Integration","Advanced Interface","Algorithmic Identity","A"
1159,Cloud Computing,Knowledge,Medium,"What is 'load balancing'?","The process of distributing network traffic across multiple servers to ensure no single server is overwhelmed, improving availability and responsiveness","Balancing the financial load of cloud costs","A security process for blocking heavy loads","A tool for making a single server more powerful","A"
1160,Artificial Intelligence,Knowledge,Medium,"What is an 'agent' in reinforcement learning?","The learner or decision-maker that interacts with an environment to achieve a goal","A human who assists the AI","A software library for reinforcement learning","A secret agent that spies on the model","A"
1161,Data Science,Comprehension,Medium,"What is a 'false negative'?","An outcome where a model incorrectly predicts the negative class when the actual class is positive (e.g., a spam filter marking a spam email as 'not spam')","An outcome where a model correctly predicts the negative class","An outcome where a model incorrectly predicts the positive class","A test that produces a negative result","A"
1162,Big Data,Comprehension,Medium,"What is the purpose of 'data partitioning' in a distributed database?","To break up a large table into smaller, more manageable pieces, which can be stored on different machines to improve query performance and scalability","To create a secure partition for sensitive data","A method for backing up data","To partition the data based on its quality","A"
1163,DevOps,Knowledge,Medium,"What is a 'build'?","The process of converting source code files into standalone artifacts (like an executable program or a library) that can be run on a computer","The process of building a physical server","A project planning document","The final deployed version of an application","A"
1164,IoT,Analysis,Medium,"What is a key benefit of using a 'publish/subscribe' messaging pattern in IoT?","It decouples the device that sends the data (the publisher) from the application that receives it (the subscriber), allowing for a very flexible and scalable system","It is the only secure way to send messages","It guarantees that messages will be delivered in the correct order","It is the fastest way to send a message directly from one device to another","A"
1165,Cybersecurity,Knowledge,Medium,"What is 'two-factor authentication'?","A security method that requires two pieces of evidence (factors) to prove a user's identity, such as a password and a one-time code from a phone","A method that requires two different passwords","A system that is twice as secure as a single password","A type of encryption","A"
1166,Machine Learning,Comprehension,Hard,"What is a 'convolutional layer' in a CNN?","A layer that applies a set of learnable filters (kernels) to its input, which allows it to detect specific features like edges, corners, and textures in an image","A layer that connects every neuron to every other neuron","A layer that reduces the size of the input","The final output layer of the network","A"
1167,Cloud Computing,Comprehension,Medium,"What is the main benefit of an 'auto-scaling group'?","It automatically adjusts the number of instances in a group to meet the current demand, which helps maintain performance while managing costs","A group of engineers who manually scale servers","A security group with automatic rules","A group of databases that scales automatically","A"
1168,Artificial Intelligence,Analysis,Hard,"What is the primary difference between a 'stateful' and a 'stateless' application?","A stateless application does not store any client session data on the server, treating every request as a new one, while a stateful application remembers past interactions","A stateful application is always more secure","A stateless application cannot be run in the cloud","A stateful application is an older architectural pattern","A"
1169,Data Science,Knowledge,Medium,"What is 'data'?","A collection of facts, such as numbers, words, measurements, observations, or just descriptions of things","A specific point in time","A computer program","A type of storage device","A"
1170,Big Data,Analysis,Medium,"What is a key advantage of using a 'columnar' storage format for data warehousing?","It significantly improves the performance of analytical queries that only access a subset of columns, as it avoids reading unnecessary data","It is better for transactional workloads with frequent writes","It enforces a stricter schema than row-based storage","It is an older, more established technology","A"
1171,DevOps,Comprehension,Medium,"What is 'version control'?","A system that tracks and manages changes to files over time, allowing multiple people to collaborate and enabling the recall of previous versions","A system for controlling which version of a software is deployed","A legal document that controls the use of a software version","A tool for managing user permissions","A"
1172,IoT,Knowledge,Medium,"What is 'Wi-Fi'?","A wireless networking technology that allows devices like computers, mobile devices, and other equipment to connect to the Internet or communicate with one another wirelessly within a particular area","A type of wired network connection","A security protocol for IoT","A brand of smart home device","A"
1173,Cybersecurity,Knowledge,Medium,"What is 'malware'?","Software that is specifically designed to disrupt, damage, or gain unauthorized access to a computer system","A hardware failure","A bug in a program","An outdated application","A"
1174,Machine Learning,Analysis,Medium,"What is the main purpose of a 'validation set'?","To tune the hyperparameters of a model and to provide an unbiased estimate of its performance during training, which helps to prevent overfitting","To be the final, ultimate test of the model's performance","To train the model","To clean the raw data","A"
1175,Cloud Computing,Knowledge,Easy,"What is a 'server'?","A computer program or device that provides a service to another computer program and its user, also known as the client","A person who serves food","A type of software","A storage device","A"
1176,Artificial Intelligence,Knowledge,Medium,"What is 'robotics'?","The field of science and engineering concerned with the design, construction, operation, and use of robots","The study of human-robot interaction","A genre of movies","A software for simulating robots","A"
1177,Data Science,Comprehension,Hard,"What is 'A/B testing'?","A randomized experiment where two or more versions of a variable (e.g., a webpage or a feature) are shown to different segments of users to determine which version has a greater impact on a specific metric","A test for blood types A and B","A type of software unit testing","A method for comparing the accuracy of two models","A"
1178,Big Data,Comprehension,Medium,"What is the main idea behind 'distributed computing'?","Breaking down a large problem into many smaller parts and distributing them across multiple computers to be solved in parallel","Computing that is distributed for free","A type of personal computer","A security feature for computing","A"
